,date,comment,bookname,rate,bookID,like
22,1398/08/07,"استاد مطهری و داستان راستانش نیاز به تعریف ندارند، همه ی ما از کودکی باهاش آشنا هستیم بعضی داستانهاش رو پای منبر شنیدیم بعضی ها رو از زبان معلمان و برخی هاش رو از تلویزیون...
اما چه خوبه که یک بار دیگه با قصد درس گرفتن ازش بخونیم.
جالب هست که استاد فقط به نقل از کتابهای روایی بسنده نکردند و داستان هایی حتی از زندگی مشاهیر غربی روایت کردند.
همه ی داستان ها با زبانی ساده نوشته شدند و به راحتی قابل فهمند اما در عین حال به گونه ای هستند که هر کس به اندازه ی فهم خودش درسی از اون میگیره لذا هزاران درس از اونها میشه گرفت.
داستان ها هر کدام بیانگر مطلبی و درسی بودند که به اندازه ی فهم اندکم یاد گرفتم، در ادامه به بعضی اشاره میشه.
۱.کارهای شخصی خود را به هیچ بهانه ای حتی عبادت به کسی نسپارید.
۲.منع استفاده از نعمتهای حلال اشتباه است.
۳.علمی که طوطی وار باشد و با نوشتن بخواهی به یاد سپاری علم نیست علم واقعی آن است که با تفکر و عجین شدن با جان و دل همراه باشد.
۴.کار برای کسب روزی عبادت است.
۵. گناه را کوچک نشمار ولو به اندازه ی ذره ای باشد.
۶. در راه موفقیت از شکست نهراس.
۷.تمرین، راز موفقیت در عمل است.
۸.انسان ایمنی از مرگ ندارد و هیچ چیز با خود به آن دنیا نخواهد برد.
۹.مواظب غروری که به دنبال مقام و ثروت می آید باشیم.
۱۰. انفاق اول باید از خانواده و بستگان شروع شود.",داستان راستان (جلد ۱),5.0,57.0,8.0
23,1398/05/03,کتاب زیبا بود عامیانه بود و در یک کلام ملیح بود ❤,داستان راستان (جلد ۱),5.0,57.0,2.0
24,1398/02/17,"اینو حدودا راهنمایی بودم خوندم.
مامانم شدیدا علاقه داشت که داستان راستان بخونیم
چه دورانی بود،چقدرم احساس فرهیخته بودن بهم دست داده بود.
یادش بخیر",داستان راستان (جلد ۱),5.0,57.0,7.0
25,1397/12/10,"کتابی که خیلی زیباست .حداقل درسی که ازش گرفتم اینه و دارم ازش استفاده میکنم
))کسی که خودش عبادت کنه و کارهای شخصیش کسی انجام بده ملعونه",داستان راستان (جلد ۱),5.0,57.0,6.0
26,1397/11/07,دیوانه نه آشفته یا بی ..بگو آنچه در پستوی دلت خوابیده است.بیدار کن فریاد نه،صدایش بزن.گوش می کنم آنچه یا آنکه را که دلت را با خود برده است ودیوانه کرده است و در هر پیمانه جرعه جرعه نوشیده است و ته مانده اش را سر کشیده است را گوش می کنم.بگو آن که تنهاییت را معنا کرده است و نورش را شمع برده است را بگو گوش می کنم❤,داستان راستان (جلد ۱),5.0,57.0,8.0
27,1397/10/14,"خود شهید رحمت الله در مقدمه می فرماید:( این داستانها علاوه بر آنکه می تواند راهنمای اخلاقی و اجتماعی سودمندی باشد،معرف روح تعلیمات اسلامی نیز هست و خواننده از این رهگذر به حقیقت و روح تعلیمات اسلامی آشنا می شود و می تواند خود را، یا محیط و جامعه ی خود را با این مقیاسها اندازه بگیرد و ببیند در جامعه ای که او در آن زندگی می کند و همه ی طبقات خود را مسلمان می دانند و احیانا بعضی از آن طبقات سنگ اسلام را به سینه می زنند،چه اندازه از معنی و حقیقت اسلام معلوم و مجری است.)
_این کتاب تقریبا یک دور اسلام شناسی مختصر و مفید .امتحانش کنید حتما.",داستان راستان (جلد ۱),5.0,57.0,5.0
28,1397/09/28,"نیاز به تعریف نداره ولی در یک جمله:
لذیذ بود",داستان راستان (جلد ۱),5.0,57.0,12.0
29,1397/09/20,"هر دو جلد رو دوس داشتم
لفظ قلم: عنفوان کودکی مطالعه کردم
معمولی: بچه سن که بودم خوندمش
خودم: هنوز سیبیلم سبز نشده بود، دیدم و خوندم و باهاش حال کردم",داستان راستان (جلد ۱),5.0,57.0,3.0
30,1397/08/12,"کلاس دوم دبستان جلد ۲ رو خوندم، کلاس سوم دبستان جلد ۱!!😁
مامانم یه مجموعه کامل از کتاب های شهید مطهری داشت، ولی نمی دونم چرا فقط جلد ۲ داستان راستان رو خریده بود! جلد یک رو سال بعدش خودم تو نمایشگاه کتاب خریدم
تقریبا همه داستان هاشو حفظم
ساده، زیبا، تاثیرگذار..",داستان راستان (جلد ۱),5.0,57.0,9.0
31,1397/04/21,خیلی مفید💚,داستان راستان (جلد ۱),5.0,57.0,5.0
32,1397/03/15,"ای بابا اینم که پولیه...
اونم تازه چقد گرون",داستان راستان (جلد ۱),5.0,57.0,3.0
33,1397/03/14,کوتاه و اثرگذار,داستان راستان (جلد ۱),5.0,57.0,2.0
34,1397/01/28,از قضا به دامنه کوهی رسید،متوجه شد که از بلندیی قطره قطره آب روی صخره ای می چکد و در اثر ریزش مداوم،صخره را سوراخ کرده است.لحظه ای اندیشید و فکری مانند برق از مغزش عبور کرد،با خود گفت:دل من هر اندازه غیر مستعد باشد از این سنگ سخت تر نیست.ممکن نیست مداومت و پشتکار بی اثر بماند.🌟,داستان راستان (جلد ۱),5.0,57.0,10.0
35,1397/01/08,برخی داستان هاش تکراریه ولی عاااالی,داستان راستان (جلد ۱),4.0,57.0,2.0
36,1396/04/14,عالی,داستان راستان (جلد ۱),5.0,57.0,2.0
37,1395/12/10,سلام  کتاب استاد عشق رو ندارید,داستان راستان (جلد ۱),2.0,57.0,1.0
38,1395/09/05,آقا من بلد نیستم کتاب سفارش بدم برا خرید چطوری هست ???,داستان راستان (جلد ۱),4.0,57.0,0.0
39,1395/08/03,یکی از اولین کتاب هایی ک در حوزه ادبیات دینی خوندم. خیلی هم خوب.,داستان راستان (جلد ۱),5.0,57.0,1.0
40,1395/07/16,کتابی عالی هستش خدارحمت کنه اقای مطهری رو,داستان راستان (جلد ۱),5.0,57.0,2.0
41,1395/07/13,سلام چرا اینقدر طول میکشه دانلودش ... الان دو روزه دارم دانلود میکنم ولی  تا نیمه رفته و هی پیغام خطا میده.,داستان راستان (جلد ۱),5.0,57.0,0.0
42,1395/07/10,عالی,داستان راستان (جلد ۱),5.0,57.0,1.0
43,1395/07/08,این کتاب برنده جایزه یونسکو در سال ١٣٤٤ هجری شمسی شده است.,داستان راستان (جلد ۱),5.0,57.0,1.0
44,1395/07/03,کتاب خوب و مفیدی بود واقعا عالیه,داستان راستان (جلد ۱),5.0,57.0,1.0
45,1395/06/31,خیلی کتاب خوب و اموزنده ای بود 😊😊😊,داستان راستان (جلد ۱),5.0,57.0,1.0
46,1395/06/30,کتاب داستان راستان یکی از آثار فوق العاده وبی نظیر استاد مطهری است که همواره قابل ستایش است,داستان راستان (جلد ۱),5.0,57.0,1.0
47,1395/06/27,سلام من  بچگی این دوره دوجلدی رو خونده بودم و دلم می‌خواست دوباره بخونم چون خیلی آموزنده هست.,داستان راستان (جلد ۱),5.0,57.0,1.0
48,1395/06/15,ممنون.,داستان راستان (جلد ۱),5.0,57.0,1.0
49,1395/06/15,"استاد مطهری بی نظیرند...
فقط یه سوال نمیشه کتابو به حافظه رم گوشی انتقال داد؟؟؟",داستان راستان (جلد ۱),0.0,57.0,1.0
50,1395/06/13,جذاب و خواندنی و امو زنده,داستان راستان (جلد ۱),5.0,57.0,1.0
51,1395/04/12,خیلی دوست داشتنی,داستان راستان (جلد ۱),5.0,57.0,1.0
52,1395/03/26,خیلی خوب و آموزنده😊😊😊😊,داستان راستان (جلد ۱),5.0,57.0,1.0
53,1395/02/19,خیلی عالی به به,داستان راستان (جلد ۱),5.0,57.0,1.0
54,1395/02/18,بسیار خوب،و آموزنده ,داستان راستان (جلد ۱),5.0,57.0,1.0
55,1395/02/14,باسلام خوشحالم که شهید مطهری هنوز زنده هستند و ما جوان ها می توانیم از اثرات ایشان کمال بهره را ببریم و به امید اینکه رابطه مابا پروردگار خالص شود.,داستان راستان (جلد ۱),5.0,57.0,1.0
56,1394/11/15,کتاب خیلی خوبیه دستتون درد نکنه,داستان راستان (جلد ۱),3.0,57.0,0.0
57,1394/09/19,انشاءالله خداخیرتان دهند.خیلی خیلی عالیه.,داستان راستان (جلد ۱),5.0,57.0,2.0
58,1394/09/19,خیله عالیه  دستتون هم درد نکنه درضمن اکه میشه کتاب 5مقاله شهید مطهری رر هم بذارید با تشکر,داستان راستان (جلد ۱),5.0,57.0,1.0
59,1394/08/24,"بسیار زیبا و بی آلایش ، داستانهای اثرگذار بر روح و روان .

اجرتان هم نزد آن والا کرام الکاتب است...",داستان راستان (جلد ۱),5.0,57.0,2.0
60,1394/08/02,بسیار عالی,داستان راستان (جلد ۱),5.0,57.0,1.0
61,1394/06/10,کتاب فوق العاده عالی هست خصوصا برای شکل گیری اخلاق و رفتار کودکان میشه این داستانها رو بازگو کرد ـ متاسفانه نمیدونم چرا در این همه کتاب درسی خبری از این داستانهای آموزنده و واقعی نیست ـ خدا رحمت کنه شهید مطهری رو که چنین کتابهایی تالیف کردن ـ از طاقچه هم سپاسگذارم که زمینه مطالعه این کتاب رو فراهم کرد,داستان راستان (جلد ۱),5.0,57.0,1.0
62,1394/05/21,"عالیه ،ما اگه استاد مطهری رو نداشتیم باید کتابهای چه افرادی رو میخوندیم؟آدمهای منحرف امثال صادق هدایت...
واقعا مردم ما باید کتابهای استاد مطهری رو درک کنند تا به کمال رسیدن انسان رو درک کنند",داستان راستان (جلد ۱),5.0,57.0,2.0
63,1394/05/02,سلام عالی بود ممنون,داستان راستان (جلد ۱),5.0,57.0,2.0
64,1394/01/02,عالیه، اسم این کتاب رو خیلی شنیده بودم ولی هرگز نخونده بودمش,داستان راستان (جلد ۱),5.0,57.0,3.0
65,1393/09/10,خیلی عالی دستتان درد نکند,داستان راستان (جلد ۱),5.0,57.0,1.0
66,1393/09/02,"کتاب آموزنده ای بود
خدا رحمت کنه شهید مطهری رو",داستان راستان (جلد ۱),5.0,57.0,1.0
67,1393/03/23,"واقعا همون طور که گفته شده وقایع دینی با زبان بسیار ساده,روان وداستانی نوشته شده.وقتی بچه بودم از خوندن کتابش لذت بردم و الان هم واسه پسرم دانلود کردم.",داستان راستان (جلد ۱),3.0,57.0,1.0
68,1398/08/15,"حکایت های این جلد نسبت به حکایتهای جلد اول طولانی تر بودند اما در تعداد صفحات هر دو جلد تقریبا یکسان هستند.
این نظر صرفا یک نظر شخصیه:
من جلد یک رو بیشتر دوست داشتم چون داستان هاش هم کوتاه بودند و هم تعدادشون بیشتر و هم ساده تر و پر درس تر بودند.
*
""در جهت تحقق رشد دسته جمعی"":-)
درس های داستان راستان:
۱.فکر به عاقبت عمل قبل از انجام عمل
۲.احوال همسایگان خود را جویا شویم
۳.آرامش هنگام بحث
۴.مهر و محبت به رسول خدا آمرزش باعث بعضی گناهان
۵.دوستی و دشمنی به خاطر خدا",داستان راستان (جلد ۲),4.0,58.0,6.0
69,1398/08/02,این کتاب برای من به نوعی نوستالژی هست، ما با این کتاب بزرگ شدیم.,داستان راستان (جلد ۲),5.0,58.0,4.0
70,1398/07/19,"کتاب خوبی از شهید مرتضی مطهری بود و دوست داشتم هردو جلد خوب بود
مهدیس ۱۱ ساله",داستان راستان (جلد ۲),5.0,58.0,5.0
71,1398/05/28,خیلی عالی بود درست مثل جلد قبل کمی غمناک...,داستان راستان (جلد ۲),5.0,58.0,1.0
72,1397/09/28,"مثل جلد ۱ نیازی به تعریف نداره
ولی در یک جمله: لذیذ بود",داستان راستان (جلد ۲),5.0,58.0,10.0
73,1397/09/20,"جونم به این کتاب
لفظ قلم بگم: به غایت زیبا
معمولی بگم: کاربردی
به زبون خودم: جوووونم بیرانوند
.
واقعا سر کیف اومدم
البته قبلا چاپی‌ش رو خونده بودم
خدا بیامرزدشون
کاش الان پیش ما بودن...",داستان راستان (جلد ۲),5.0,58.0,3.0
74,1397/02/15,خیر دنیا و آخرت با علم توأم است،همان طور که شر دنیا و آخرت با جهل توأم است.,داستان راستان (جلد ۲),5.0,58.0,9.0
75,1396/04/14,اینم عالی,داستان راستان (جلد ۲),5.0,58.0,2.0
76,1395/07/17,عالی,داستان راستان (جلد ۲),5.0,58.0,0.0
77,1395/07/03,"خیلیــــــــــــــــــــــــــــــــــــــــــــــــــی        
خیلیـــــــــــــــــــــــــــــــــــــــــــــــــی
خیلیـــــــــــــــــــــــــــــــــــــــــــــــی
★★★★★★★★★★★★★★★★★★
★★★★★★★★★★★★★★★★★★😀😀😀😀😀😀😀😀😀😀😀😀😃😃😃😃😃😃😃😃😃😃",داستان راستان (جلد ۲),5.0,58.0,0.0
78,1395/06/20,این کتاب فراتر از خوبه  به نظرم همه باید یه بارم که  شده بخوننش,داستان راستان (جلد ۲),5.0,58.0,0.0
79,1394/02/29,خیلی خوب,داستان راستان (جلد ۲),5.0,58.0,2.0
80,1394/10/04,در جواب خانوم افشار باید بگم که این سیاست نیست بلکه فرهنگ سازیه که کتاب های با محتوای بنیادی و اعتقادی بیشتر در دسترس و مطالعه قرار بگیرن.,احیای تفکر اسلامی,5.0,59.0,0.0
81,1394/07/03,"این‌هم برای خودش سیاستیه!
چون میدونید کمتر کسی این کتاب‌ها رو میخونه اکثرشون رو بصورت رایگان ارائه کردید",احیای تفکر اسلامی,1.0,59.0,0.0
82,1394/04/19,خدا خیرت بده,احیای تفکر اسلامی,5.0,59.0,0.0
83,1394/04/19,خدا خیرت بده,احیای تفکر اسلامی,0.0,59.0,0.0
84,1395/07/03,"عالی بود،
با خواندن این کتاب از مسلمان بودنم احساس افتخار و غرور کردم و خدا را شکر کردم که توانستم چنین کتابی را بخوانم، ای کاش این کتاب زودتر به دستم می رسید...",امدادهای غیبی در زندگی بشر,5.0,60.0,0.0
85,1395/06/15,مثل بقیه آثار استاد مطهری بی نظیر هستش,امدادهای غیبی در زندگی بشر,5.0,60.0,0.0
86,1394/08/29,عالی,امدادهای غیبی در زندگی بشر,5.0,60.0,0.0
87,1394/04/12,عالییییییی,امدادهای غیبی در زندگی بشر,5.0,60.0,0.0
88,1398/05/05,"♦من عَرَف نفسهُ فقد عَرفَ رَبهُ♦
❗دوستان اگر کتابی مفید درباره خودشناسی سراغ دارید ممنون میشم معرفی کنید.",انسان در قرآن,5.0,61.0,3.0
89,1393/12/23,"ممنون از طاقچه گلم

خواهشا رساله اقای خامنه ای رو هم قرار بدید",انسان در قرآن,5.0,61.0,1.0
90,1398/02/28,کتاب به بررسی رابطه ی علم و ایمان و دسته بندی ایدئولوژی ها و لغزشگاه های فکر... پرداخته و سوالاتی در پایان کتاب مطرح شده با این موضوع که آیا ایدئولوژی در ظرف زمان و مکان ثابت است یا متغیر?مطلق است یا نسبی?و آیا ایدئولوژی بسته به فرهنگ و شرایط اجتماعی و تاریخ تغییر پذیر است?...که البته پاسخ سوالات در مقاله ی ختم نبوت از شهید آمده است نه در این کتاب,انسان و ایمان,5.0,62.0,4.0
91,1395/07/23,خیلی  عالی,انسان و سرنوشت,5.0,63.0,0.0
92,1395/07/02,دسصص,انسان و سرنوشت,5.0,63.0,0.0
93,1394/10/04,کتابی بی نظیر و فوق العاده عمیق... سطح تحلیل انسان را نسبت به رویدادها و روزمرگی ها متحول می کند.,انسان و سرنوشت,5.0,63.0,0.0
94,1394/05/21,خیلی کتاب خوبیه.دید انسان رو نسبت به حوادث زندگی متحول میکنه.حتما مطالعه کنید,انسان و سرنوشت,5.0,63.0,0.0
95,1395/08/26,پس جلد اول و دوم چی؟  چرا نذاشتین؟؟؟,آشنایی با قرآن جلد ۳,2.0,64.0,0.0
96,1394/04/23,"از اینکه کتابهای شهید مطهری بصورت رایگان  گذاشته شده متشکرم و از زحمات شما تشکر و قدردانی می نمایم ولی ""قسمت هایی از متن در بیشتر آثار  موجود نیست.""",آشنایی با قرآن جلد ۴,4.0,65.0,0.0
97,1394/01/16,"سپاسگذارم،
لطفا کتب بیشتری را در حالت رایگان قرار بدین،
متشکر",آشنایی با قرآن جلد ۴,1.0,65.0,0.0
98,1398/04/13,خیلی کتاب ارزشمندیه,بیست گفتار,5.0,69.0,6.0
99,1394/12/24,ممنون از زحمات صورت گرفته نرم افزار شما آثار شهید مطهری را بخوبی پوشش داده ولی بسیار شایسته اگر فرمت EPUB نیز اضافه شود. بهترین روش انتشار برای آثار یکی از بهترین بندگان خواهش زیادی نیست. با توجه به وجود متن آثار کار ناممکنی هم نیست.,تعلیم و تربیت در اسلام,5.0,70.0,2.0
100,1394/11/15,لطفا نسخه epub هم قرار بدید,تعلیم و تربیت در اسلام,5.0,70.0,1.0
101,1398/04/21,"این کتاب سه راهی ک برای خداشناسی وجود دارد را به صورت مفصل تشریح میکند .راه فطرت ،راه علم ،راه فلسفه وتعقل.
""درمقایسه"" با کتابهای دیگر استاد، غامض جلوه میکنه که میتوان گفت چون خود موضوع اینطور ایجاب میکند زیرا مسئله ای است که نیاز ب تفکر و تعمق بیشتری دارد و مثل سایر مباحث نیست که انسان صرفا قانع شده و بپذیرد.دراین کتاب شاید نیاز باشه دوباره و سه باره مطالعه کنید.(نمود فلسفه درش زیاد بود و علاقه ب این مباحث در فهم مطالبش بسیار موثره ).
باید به این نکته هم توجه کرد ک شاید ب عنوان مثال خود من با چندبار خوندنش سوالای شخصیم جواب داده بشه اما وقتی انسان در مقام پاسخ قرار میگیره ساده سازی مطالب مطرح شده ی کتاب برای عموم دشواره و پیش زمینه ای را میطلبه ... اگر به صورت پرسش و پاسخهای روانتر بود بهتر میشد برای پاسخ دادن ازش استفاده کرد.",توحید,4.0,71.0,4.0
102,1398/01/09,عالی. عالی. عالی.,توحید,5.0,71.0,2.0
103,1397/12/10,کتاب بسیار زبیایی است,توحید,5.0,71.0,1.0
104,1396/12/17,"عالیه
ولی برای براهین فلسفی دقیق جلد 5 مججوع آثار ایشون غنی تره اما اینم عالیه",توحید,5.0,71.0,0.0
105,1394/06/14,استاد واقعا دید بازی داشتند. حتما بخوانید,توحید,5.0,71.0,1.0
106,1398/03/27,"رحم الله امرء عرف قدره...
خدا رحمت کند بنده ای که قدر و قیمت خودش را می شناسد.
کاربران گرامی:راجع به این کلمات بنویسیم.",جاذبه و دافعه علی (علیه السلام),5.0,72.0,7.0
107,1398/03/18,من نسخه چاپی رو خوندم خیلی عالی حتما بخونید,جاذبه و دافعه علی (علیه السلام),5.0,72.0,4.0
108,1398/03/18,بیانی روان و مطالبی مفید از دانشمند شهید,جاذبه و دافعه علی (علیه السلام),0.0,72.0,5.0
109,1398/03/11,شاهکاریه برای خودش.,جاذبه و دافعه علی (علیه السلام),5.0,72.0,5.0
110,1398/02/28,پاسخ خیلی از شبهه های دافعه اسلام رو خیلی منطقی و مستدل میده,جاذبه و دافعه علی (علیه السلام),5.0,72.0,3.0
111,1398/02/15,"چاپیشو خوندم
دوستش دارم",جاذبه و دافعه علی (علیه السلام),5.0,72.0,4.0
112,1397/12/05,بهترین کتابی که خواندم و یکی از تاثیرگذارترین هاست. به خصوص قسمت تهذیب نفس,جاذبه و دافعه علی (علیه السلام),5.0,72.0,6.0
113,1397/10/20,بسیار زیباست و ارزش خوندن داره,جاذبه و دافعه علی (علیه السلام),5.0,72.0,4.0
114,1397/10/20,"اینقدر زوایای وجودی و شخصیتی امیرالمومنین ع ناشناخته است که هر چقدر هم کتاب و مطلب خوانده و شنیده شود باز هم به حقیقت وجودی ایشون پی نخواهیم برد،
به قدر قطره ای از آب دریا باید چشید...
این کتاب راباید خواند",جاذبه و دافعه علی (علیه السلام),5.0,72.0,7.0
115,1397/07/11,به نظرم یکی از بهترین کتاب‌های شهید مطهری هست. البته بین چند کتابی که من از ایشون خوندم,جاذبه و دافعه علی (علیه السلام),4.0,72.0,5.0
116,1397/05/04,کتاب خیلی خوبی بود.,جاذبه و دافعه علی (علیه السلام),5.0,72.0,3.0
117,1397/04/02,خواهشا بهترین کتابایی رو که راجع به مولا علی خوندید رو معرفی کنید ترجیحا خیلی داستانی و روایی طور و یا خیلی مذهبی و حدیث محور نباشه ترجیحم اینه مثل کتابای مطهری و شریعتی بیشتر به بعد انسان شناسی مولا پرداخته باشه...خیلی ممنون میشم.,جاذبه و دافعه علی (علیه السلام),5.0,72.0,2.0
118,1397/03/24,من چندین کتاب از ایشون خوندم که به نظرم اکثرا عالی بود ولی این کتابشون رو از همه بیشتر دوست دارم,جاذبه و دافعه علی (علیه السلام),5.0,72.0,6.0
119,1396/12/20,این کتاب رو تاکنون دو سه بار خوانده ام . استاد مطهری ، فوق العاده به زندگی و منش و مرام امیرالمومنین علی (ع) پرداخته اند. این کتاب رو از دست ندید بویژه نحوه برخورد حضرت با خوارج را,جاذبه و دافعه علی (علیه السلام),5.0,72.0,4.0
120,1396/12/19,"این کانال درباره تاریخ صدر اسلام با توضیح محمد حسین رجبی دوانی است. برای من که مفید بود.
@rajabidavani_mohamadhosein",جاذبه و دافعه علی (علیه السلام),5.0,72.0,4.0
121,1396/09/11,ایا این کتاب رایگان است یا باید هزینه ان را پرداخت کنیم؟,جاذبه و دافعه علی (علیه السلام),5.0,72.0,0.0
122,1396/09/03,عالییییییییییییییی,جاذبه و دافعه علی (علیه السلام),5.0,72.0,3.0
123,1396/09/02,"عرض ادب. علی (ع) معجزه ای است که خداوند او را در شکل
انسان آفرید تا افتخاری برای جهانیان تا روز
قیامت باشد.
علی (ع) یک انسان است با تمام خصوصیات و ویژگی های بشری .
اما او یک معیار تمام عیار برای « انسانیت » است . و انسانیت با تمام مصادیق عالی آن در وجود امام علی( ع) متجلی شده است .
او تجلّی جلال و جمال حضرت حق جلّ و علی و مظهر ذات و صفات خداوند سبحان است به گونه ای که ربّ ذوالجلال ایشان را ستوده است .
علی(ع) مظهر تامه ی عدالت است . و عدالت تا قیامت به نام نامی علی (ع) افتخار می کند.
....عدل از نام بلندت شد بلند آفتاب از مشرق بامت بلند !
آفتاب عصمت و زهد و ولا
تو که هستی ای علی مرتضی ...
#همت نوری",جاذبه و دافعه علی (علیه السلام),5.0,72.0,20.0
